modality,gene,smd_B_minus_A,mwu_p,abs_smd,fdr
cnv,AKR1B1,1.5785603752271165,9.578701361621678e-53,1.5785603752271165,7.633578569783165e-52
cnv,TPX2,1.5772505355651507,2.3447663613856142e-61,1.5772505355651507,7.428906105951007e-60
cnv,IGFBP5,1.5756014174049988,4.4441030189882257e-63,1.5756014174049988,3.89865817627855e-61
cnv,BUB1B,1.5755107003329973,1.3328236022365161e-44,1.5755107003329973,7.83410796065717e-44
cnv,MCM2,1.5751875478547408,8.168019130613592e-61,1.5751875478547408,2.2575014575887353e-59
cnv,SCUBE2,1.5739959040809615,2.9396562544966844e-52,1.5739959040809615,2.1833241048836014e-51
cnv,NECAB3,1.5724401942542294,1.4809629650196041e-58,1.5724401942542294,2.709536466986571e-57
cnv,E2F1,1.5724401942542294,1.4809629650196041e-58,1.5724401942542294,2.709536466986571e-57
cnv,PXMP4,1.5724401942542294,1.4809629650196041e-58,1.5724401942542294,2.709536466986571e-57
cnv,SEZ6L2,1.5714587929603367,1.0229163345270401e-42,1.5714587929603367,5.802481740395743e-42
cnv,MAPK3,1.5714587929603367,1.0229163345270401e-42,1.5714587929603367,5.802481740395743e-42
cnv,PYCARD,1.571128195698158,3.0710367091307425e-43,1.571128195698158,1.7969714798021778e-42
cnv,DNMT3B,1.5710441044432253,9.689172438223018e-60,1.5710441044432253,2.0300379027825323e-58
cnv,IGFBP3,1.5709709954990785,4.087589714047751e-53,1.5709709954990785,3.447908466589629e-52
cnv,KDELR2,1.5706644795694564,4.60997714350493e-52,1.5706644795694564,3.2723280379305484e-51
cnv,RASSF7,1.5701851730747225,2.117427618131672e-51,1.5701851730747225,1.4553113629381174e-50
cnv,PLK1,1.5671937644246996,5.038597566173732e-42,1.5671937644246996,2.7733636603642703e-41
cnv,CTF1,1.5651782495000752,3.439652117245733e-43,1.5651782495000752,2.00363591941803e-42
cnv,BUB1,1.562034121017689,5.102170053636285e-63,1.562034121017689,3.89865817627855e-61
cnv,PRR14,1.5605158827699874,1.0229163345270401e-42,1.5605158827699874,5.802481740395743e-42
cnv,CST1,1.5589693142631522,2.12437855231267e-55,1.5589693142631522,2.2254578543985148e-54
cnv,SERPINE1,1.5556811518215965,4.2253311581886385e-51,1.5556811518215965,2.8587006117120006e-50
cnv,FSCN1,1.5552796579397663,4.60997714350493e-52,1.5552796579397663,3.2723280379305484e-51
cnv,HTATIP2,1.554435532380047,1.9212622558866845e-58,1.554435532380047,3.3725941491848694e-57
cnv,NME3,1.5534569539370744,2.5236867631557134e-42,1.5534569539370744,1.4009697031364407e-41
cnv,GIMAP4,1.553335742121814,9.408752472135465e-50,1.553335742121814,6.1416931966351604e-49
cnv,GIMAP7,1.553335742121814,9.408752472135465e-50,1.553335742121814,6.1416931966351604e-49
cnv,TMEM204,1.5528878937384105,2.5236867631557134e-42,1.5528878937384105,1.4009697031364407e-41
cnv,RARRES2,1.5510889629667517,6.834837549636847e-50,1.5510889629667517,4.5068294299382046e-49
