gene,methyl_diff_BmA,cohens_d,mwu_p,fdr_bh,direction
SELENBP1,-0.11391486597580569,-0.1425102432217466,0.41294810282585326,0.7419358030024666,hypo_in_B
TGFB1,0.23205184217764693,0.22350670879716883,0.4170197470544047,0.7455123234334926,hyper_in_B
S100A14,-0.062459803422227206,-0.06739851676868576,0.41838220460586306,0.7455123234334926,hypo_in_B
ARID1B,-0.02840169969741172,-0.028571012085612333,0.4224852688704923,0.7497382025447671,hypo_in_B
ATP6V1C1,0.08654848682743467,0.09838854333313247,0.4245456108084824,0.7503193856329505,hyper_in_B
RB1,-0.08463241344151126,-0.09539320869003398,0.4300684826130994,0.7569904592336262,hypo_in_B
AURKA,-0.06668455945111186,-0.07486430088748562,0.43215026688852254,0.75757516422158,hypo_in_B
CHEK1,0.04148964715427744,0.08409952958353616,0.43563284656533796,0.7606008974306102,hyper_in_B
PHGDH,-0.010901638027634532,-0.011740169943602323,0.43913155902905887,0.7617911598776538,hypo_in_B
CDCA7,-0.04607008909996774,-0.049321752472446405,0.4398332331857123,0.7617911598776538,hypo_in_B
SERPINB9,0.08333921162608812,0.09424006692836234,0.4440567663865109,0.7630023009736477,hyper_in_B
AZGP1,0.07662069774217535,0.10094152051111095,0.4440567663865109,0.7630023009736477,hyper_in_B
VEGFA,0.09766032674777034,0.13925811180667985,0.448303358791337,0.7648567595838012,hyper_in_B
UBE2C,-0.1079949576676425,-0.11704339085439089,0.44901335976737555,0.7648567595838012,hypo_in_B
CDC20,-0.06249133355019635,-0.05763423345042671,0.45043527411979056,0.7648567595838012,hypo_in_B
RASSF1,0.034592372591426834,0.046085449059369475,0.4532867403839942,0.7666920257276152,hyper_in_B
SCG5,0.15543723698340658,0.15230541842092446,0.45830123716201565,0.7710084519678543,hyper_in_B
FSCN1,0.0912781689812692,0.09471271179463824,0.46118057519555256,0.7710084519678543,hyper_in_B
UBE2T,-0.05238973384311392,-0.05052020078076239,0.46118057519555256,0.7710084519678543,hypo_in_B
DNMT1,-0.06874153802425131,-0.07011947400136163,0.4713374462918535,0.7819506292887838,hypo_in_B
ETV3,0.10212043380381669,0.10947331392741923,0.4713374462918535,0.7819506292887838,hyper_in_B
METRN,-0.06252542344511354,-0.07039930409430802,0.4890326863077975,0.8051374645295677,hypo_in_B
RUNDC1,-0.08185685036119769,-0.08954761831323627,0.4890326863077975,0.8051374645295677,hypo_in_B
