tf,target,edge_sign,obs_coexpr
MYC,TBX3,1,-0.012807791984056578
TP53,TBX3,1,-0.0034098013630633928
AR,TGFB1,1,-0.027590380392560725
E2F1,TGFB1,1,0.03935815520298917
FOXC1,TGFB1,1,-0.007010163338891629
HTATIP2,TGFB1,1,0.03853026822819326
MYC,TGFB1,1,-0.0663335448527486
SMAD3,TGFB1,1,-0.02273616363270515
SMAD4,TGFB1,1,-0.034010936419468424
TP53,TGFB1,1,-0.025182840391255738
ZEB1,TGFB1,1,-0.02196445091644834
HIF1A,TGFB1,1,-0.0409264217542996
E2F1,TOP2A,1,0.06774422472260805
AR,TP53,1,0.050601291675966956
E2F1,TP53,1,-0.029981153196437217
ESR1,TP53,-1,0.04499052796598969
EZH2,TP53,-1,0.04728390119221909
FOXM1,TP53,-1,-0.011813831219558667
MYBL2,TP53,1,-0.020206500104883212
MYC,TP53,1,0.12219119142469105
NCOA3,TP53,1,-0.15884793578561787
RUNX1,TP53,1,0.012390743175619988
TBX3,TP53,-1,-0.0034098013630633928
TWIST1,TP53,-1,-0.03688927084252179
ZNF395,TP53,1,0.1347328567723046
HIF1A,TP53,1,0.09031447592481191
EZH2,TWIST1,-1,-0.11004376393332911
TP53,TWIST1,1,-0.03688927084252179
HIF1A,TWIST1,1,0.28235363931223156
AR,UBE2C,1,-0.22476115347273323
FOXA1,UBE2C,1,-0.3192924332901135
MYC,UBE2C,1,0.0883414796221195
NCOA3,UBE2C,1,0.3763252662636491
E2F4,UBE2C,1,0.29099973550640074
AR,VEGFA,1,-0.03404729508332707
BRCA1,VEGFA,1,0.09299526678792908
DNMT3A,VEGFA,1,-0.09963453089480702
E2F1,VEGFA,-1,0.03455538329378194
ESR1,VEGFA,1,-0.20003798027844708
FOXM1,VEGFA,1,0.27234040786110664
HTATIP2,VEGFA,-1,0.05268782850632083
MYC,VEGFA,1,-0.03743347613272775
PGR,VEGFA,-1,-0.24487992900147865
RB1,VEGFA,1,-0.1239491766150606
