tf,target,edge_sign,is_edge,null,slope,slope_lo,slope_hi,frac_patients_neg,n,obs_coexpr
SMAD4,MYC,-1,1,permute_graph,0.02941838714614537,0.028837070245459284,0.030014506998382064,0.0,748,0.2976667835795377
SMAD4,PAK1,1,1,permute_graph,0.0018808036181434944,0.00181597897974146,0.001947628064947444,0.0213903743315508,748,0.2928280544898517
SMAD4,PTEN,1,1,permute_graph,0.004801777562702575,0.004694119377435042,0.004920826657616478,0.0,748,0.556686743953508
SMAD4,SERPINE1,1,1,permute_graph,-0.0012364704328308588,-0.001289090011035401,-0.001185353859331883,0.9745989304812834,748,0.05497792814072687
SMAD4,TGFB1,1,1,permute_graph,-0.0014006283351696654,-0.0014840934008032893,-0.0013172939597658486,0.8997326203208557,748,-0.0698696640709854
SMAD4,VEGFA,-1,1,permute_graph,0.004109205793732123,0.004013515530209515,0.004207395770088579,0.0,748,0.11149854991744357
SMAD4,COL1A2,1,1,permute_graph,-0.0014359883938330005,-0.0014821821117836727,-0.0013853357366718675,0.9893048128342246,748,0.12325013212822253
SMAD4,FSCN1,1,1,permute_graph,-0.0013826541038588634,-0.0014482733648193164,-0.0013158375128905274,0.9585561497326203,748,-0.0829087903193763
SMAD4,LAMB3,1,1,permute_graph,0.0009065513136761794,0.0008366522317598277,0.0009806592905229467,0.1751336898395722,748,0.25451298284838064
SMAD4,COL1A1,1,1,permute_graph,-0.001616813818618667,-0.0016958046177092529,-0.0015389889654095009,0.9518716577540107,748,0.02977475418458964
SMAD4,CLDN3,-1,1,permute_graph,-0.001751717058431237,-0.0018229050096715822,-0.001677025071784264,0.9665775401069518,748,-0.23775503144751697
SMAD4,ID1,1,1,permute_graph,-0.002405699894974363,-0.002481708534027878,-0.002331440278628605,1.0,748,-0.028104005722553983
SMAD4,SCNN1A,1,1,permute_graph,-0.0006389616173069494,-0.0007076023215186857,-0.0005757678296209892,0.7633689839572193,748,0.13251661632154096
SMAD4,SOX9,1,1,permute_graph,0.006939764946878433,0.006760463256198198,0.007152097865393584,0.0,748,0.26399613478579026
SMAD4,RTP4,0,0,permute_graph,-0.00113575744729841,-0.0011919352784410448,-0.001088248317383283,0.9491978609625669,748,-0.05051711275620974
SMAD4,E2F1,0,0,permute_graph,-0.0010592027451119227,-0.001123991709105205,-0.000989449429271806,0.9010695187165776,748,-0.18002134395245997
SMAD4,LGALS3BP,0,0,permute_graph,-0.001505814521961951,-0.0015815759244976308,-0.0014348436302890173,0.9318181818181818,748,-0.14188251074367733
SMAD4,AEBP1,0,0,permute_graph,-0.0016473611913880406,-0.0017050618081967434,-0.0015919081192818897,0.9879679144385026,748,0.01784526866700338
SMAD4,PLTP,0,0,permute_graph,-0.002016499926752798,-0.0020788513137550155,-0.0019584762183075728,0.9946524064171123,748,-0.01785997805476906
SMAD4,GMFG,0,0,permute_graph,-0.0019758733167477382,-0.0020500852530112444,-0.0019095160941794197,0.9852941176470589,748,-0.15969850514627149
SMAD4,ALDH1A3,0,0,permute_graph,0.00018304092112311052,0.00014510438940612316,0.00023026857772466794,0.3770053475935829,748,0.17331309019537153
SMAD4,RPRD2,0,0,permute_graph,0.012699333434354235,0.012473680820179014,0.012941229280708778,0.0,748,0.540503922836731
SMAD4,GIMAP7,0,0,permute_graph,-0.0005981459642582802,-0.0006487373015121151,-0.0005519638656337221,0.8114973262032086,748,0.08492063661599894
SMAD4,SLPI,0,0,permute_graph,-0.0007238171869762742,-0.0007774767601396074,-0.0006758803507286577,0.8422459893048129,748,-0.07779660480661793
SMAD4,ASAP1,0,0,permute_graph,0.001185982606752233,0.0011385605509854433,0.001233106433102029,0.034759358288770054,748,0.37614483677514965
SMAD4,C1orf116,0,0,permute_graph,0.002703307390066922,0.00262135629092593,0.002795222564043233,0.008021390374331552,748,0.0976956826355232
