gene,arrow,injected_value,mean_pred,sem_pred
ANLN,methy->rna,-1.0,0.017267810180783272,0.033431056890636385
ANLN,methy->rna,-0.5,-0.03421701490879059,0.03273928391451676
ANLN,methy->rna,0.0,-0.07519154995679855,0.031430280848280916
ANLN,methy->rna,0.5,-0.09426484256982803,0.03195077561267406
ANLN,methy->rna,1.0,-0.13453041017055511,0.03237999653164831
ANLN,methy->rna,1.5,-0.17132313549518585,0.03277263686526509
ANLN,methy->rna,2.0,-0.20019584894180298,0.03302792075129535
AP2B1,methy->rna,-2.0,0.22180216014385223,0.03197746407548535
AP2B1,methy->rna,-1.5,0.19183394312858582,0.03213301819288033
AP2B1,methy->rna,-1.0,0.1436828374862671,0.032243073777030874
AP2B1,methy->rna,-0.5,0.0682045966386795,0.031960678632028505
AP2B1,methy->rna,0.0,0.027879059314727783,0.031172250966566988
AP2B1,methy->rna,0.5,-0.005596316419541836,0.031220900856762684
AP2B1,methy->rna,1.0,-0.03007059544324875,0.03191488370559916
AP2B1,methy->rna,1.5,-0.054610125720500946,0.03221064051690041
AP2B1,methy->rna,2.0,-0.07765591144561768,0.03231476605799121
APC,methy->rna,-2.0,0.10356015712022781,0.03424302384131959
APC,methy->rna,-1.5,0.0835835337638855,0.034296463968430134
APC,methy->rna,-1.0,0.050548236817121506,0.03431995312833378
APC,methy->rna,-0.5,-0.006913511548191309,0.034187057834052396
APC,methy->rna,0.0,-0.05577848479151726,0.033166970562886804
APC,methy->rna,0.5,-0.05675511062145233,0.03367722886559249
APC,methy->rna,1.0,-0.06908626109361649,0.03396988444526051
APC,methy->rna,1.5,-0.07962299138307571,0.034125748032010315
APC,methy->rna,2.0,-0.08918555825948715,0.03422011439161582
AR,methy->rna,-2.0,0.26435235142707825,0.03333933627607848
AR,methy->rna,-1.5,0.24197253584861755,0.03324972528360136
AR,methy->rna,-1.0,0.20229710638523102,0.032994563441823714
AR,methy->rna,-0.5,0.12003625184297562,0.03218224125519095
AR,methy->rna,0.0,0.013781639747321606,0.029620765584654755
AR,methy->rna,0.5,-0.029407965019345284,0.03054519195539254
AR,methy->rna,1.0,-0.14740611612796783,0.03016585880403329
AR,methy->rna,1.5,-0.23385806381702423,0.02976439423508065
AR,methy->rna,2.0,-0.29063040018081665,0.02948414576130718
ARID1A,methy->rna,-2.0,0.19098778069019318,0.029728792183105694
ARID1A,methy->rna,-1.5,0.16618093848228455,0.02980640796904081
ARID1A,methy->rna,-1.0,0.12559089064598083,0.029837788597492535
ARID1A,methy->rna,-0.5,0.059788577258586884,0.029580057288325166
ARID1A,methy->rna,0.0,0.03459065407514572,0.029062622347693825
ARID1A,methy->rna,0.5,0.01172418612986803,0.029505194036158682
ARID1A,methy->rna,1.0,-0.012850929982960224,0.030277385457300084
ARID1A,methy->rna,1.5,-0.03716839477419853,0.030634295156604343
ARID1A,methy->rna,2.0,-0.05992894619703293,0.030784884688152176
ARID1B,methy->rna,-2.0,0.1765323132276535,0.029646482052168497
ARID1B,methy->rna,-1.5,0.15150707960128784,0.029671429205018477
ARID1B,methy->rna,-1.0,0.11095277220010757,0.029621399778895982
ARID1B,methy->rna,-0.5,0.044161710888147354,0.029249720545664555
ARID1B,methy->rna,0.0,0.013540339656174183,0.028734767897956783
ARID1B,methy->rna,0.5,-0.028219856321811676,0.028864945528256
ARID1B,methy->rna,1.0,-0.07124964892864227,0.029437960729141826
ARID1B,methy->rna,1.5,-0.10485709458589554,0.029719845903517228
ARID1B,methy->rna,2.0,-0.1307794749736786,0.02983928581894863
ASPM,methy->rna,-2.0,0.06342221796512604,0.03601892463079897
ASPM,methy->rna,-1.5,0.046961862593889236,0.03597072804782724
