gene,arrow,slope,slope_lo,slope_hi,frac_patients_neg,rho,rho_lo,rho_hi,Delta,n,rho_obs,rho_minus_obs,curated_flag
MCM2,methy->rna,-0.09408930979205092,-0.09773545497895174,-0.09037888520428891,0.9705882352941176,-0.15222193679539836,-0.16474972701069554,-0.14279354139485106,-0.2882506251335144,748,-0.07746072500306589,-0.07476121179233247,0
MCM6,methy->rna,-0.053489449681795524,-0.05566460641117603,-0.05133731369044006,0.9772727272727273,-0.08366228620494713,-0.09155810233163246,-0.07820226019163981,-0.16419193148612976,748,-0.10965818472377466,0.025995898518827526,0
MDM2,methy->rna,-0.10013055641197063,-0.10300117284566274,-0.09713708790464325,1.0,-0.19088573549267918,-0.20668784104042304,-0.17882787616720894,-0.30703121423721313,748,-0.19840220063910283,0.007516465146423651,0
MDM4,methy->rna,-0.07451470212516194,-0.076793766829683,-0.07207979684285554,0.9986631016042781,-0.13193352258801389,-0.1416696714795647,-0.12465333345688946,-0.22816018760204315,748,0.1995728170110716,-0.3315063395990855,0
MELK,methy->rna,-0.06668288970765378,-0.06928660830201763,-0.06413355443580158,0.9598930481283422,-0.09763033986353944,-0.10713719512421198,-0.09101169902545801,-0.20448318123817444,748,-0.21466256861594277,0.11703222875240332,0
MGP,methy->rna,-0.2442009854083134,-0.25091013657020234,-0.23731547638759184,1.0,-0.520273833956228,-0.5420421047694411,-0.4974841129276407,-0.7516173720359802,748,-0.27161315269616804,-0.2486606812600599,0
MIA,methy->rna,-0.16032919411048616,-0.16402449527702048,-0.15675907609813805,1.0,-0.5061485987071549,-0.5288837218174581,-0.4869600092288586,-0.49223053455352783,748,-0.4294218042214153,-0.0767267944857396,0
MKI67,methy->rna,-0.0316324452095567,-0.034387150453169105,-0.028795612177668586,0.7820855614973262,-0.047741875324427384,-0.05450728328537503,-0.04238983671455898,-0.09673655778169632,748,-0.05092671006022046,0.0031848347357930767,0
MLPH,methy->rna,-0.13408550141456432,-0.13728328539140638,-0.13068889562711355,1.0,-0.3470641662490214,-0.37315079957326264,-0.3244221643586831,-0.4111774265766144,748,-0.5327704368949062,0.1857062706458848,0
MMP2,methy->rna,-0.05438467927780103,-0.05668064071341965,-0.05197847594819244,0.9598930481283422,-0.0720149071389876,-0.07846081025003705,-0.0678761359693302,-0.16648532450199127,748,-0.08246822492701003,0.010453317788022429,0
MMP9,methy->rna,-0.06448252712062655,-0.06748723155465483,-0.06172055867351712,0.9786096256684492,-0.1341976686466122,-0.14472374036076807,-0.1264199702605769,-0.19758231937885284,748,-0.0963181313102162,-0.037879537336396,0
MTDH,methy->rna,-0.03541781328192707,-0.03800437071510058,-0.03276541591418157,0.8622994652406417,-0.05387431070170659,-0.060570559725353544,-0.049473491069350596,-0.10700377076864243,748,-0.4044818385943193,0.35060752789261274,0
MTOR,methy->rna,-0.06728048418922875,-0.06960486495940364,-0.06500859234458653,0.983957219251337,-0.11048336490200063,-0.11970251146549195,-0.10463794840930488,-0.20609623193740845,748,0.037582256355138295,-0.14806562125713893,0
MYBL2,methy->rna,-0.05942915061039688,-0.06264737634773805,-0.05645046493531172,0.8997326203208557,-0.08467384940393925,-0.09305875235552845,-0.07869200256805449,-0.1818435788154602,748,-0.3570800821368778,0.27240623273293857,0
MYC,methy->rna,-0.09373892999533066,-0.09724012826481082,-0.09035919905642467,0.9973262032085561,-0.216016568165484,-0.23205849983432525,-0.20228801456420656,-0.28752613067626953,748,0.0862710173995999,-0.3022875855650839,0
