tf,target,edge_sign,is_edge,null,mask_mode,n_targets_of_tf,slope,slope_lo,slope_hi,frac_patients_neg,n,obs_coexpr
EZH2,ZNF880,0,0,real,rna_only,28,-0.0019470541478996287,-0.002034760806965808,-0.0018627499482968379,0.9652406417112299,748,-0.006773113937319099
EZH2,PLAU,0,0,real,rna_only,28,-0.0029579036057729145,-0.0030535244381392638,-0.0028682451838979808,0.9946524064171123,748,0.09243568449275279
EZH2,LRP5,0,0,real,rna_only,28,-0.002997426880538503,-0.0031121608963731763,-0.002875874717220781,0.9786096256684492,748,-0.03955755767621151
EZH2,LXN,0,0,real,rna_only,28,-0.0005156529071257712,-0.000661788942315574,-0.0003660992496394197,0.6403743315508021,748,-0.11246648704009758
EZH2,NDC80,0,0,real,rna_only,28,0.014103252226785623,0.013788743890105391,0.014407813910761376,0.0,748,0.7652955734649122
EZH2,RAB34,0,0,real,rna_only,28,-0.0030220328388592885,-0.003127176102480948,-0.002906242885612118,0.982620320855615,748,-0.07291262821575385
EZH2,EGLN1,0,0,real,rna_only,28,0.0005968584248268193,0.0004394120335798473,0.0007631410637161976,0.40240641711229946,748,0.12220770367068912
EZH2,EIF3K,0,0,real,rna_only,28,-2.9015191540175657e-05,-0.0001573826498428783,9.340134684105118e-05,0.5374331550802139,748,2.1189546746419646e-05
EZH2,MAGEF1,0,0,real,rna_only,28,-0.0010457801735925085,-0.0011883976481773576,-0.0008935173750280619,0.7419786096256684,748,0.13462195024287263
EZH2,STAC2,0,0,real,rna_only,28,-0.00265733944144226,-0.0027641835322144135,-0.002561479989512292,0.9719251336898396,748,-0.024928716806169093
EZH2,PYCARD,0,0,real,rna_only,28,-0.0009788919507099222,-0.0011160022301500616,-0.0008378246050183189,0.7032085561497327,748,-0.08504486234206654
EZH2,ALDH3B2,0,0,real,rna_only,28,-0.0007984934530325514,-0.0009019734157575542,-0.0006982728727620487,0.696524064171123,748,-0.12167372308710617
EZH2,MAPK3,0,0,real,rna_only,28,0.0033931035902052325,0.0031941259831792727,0.003578213282819105,0.04946524064171123,748,-0.18277604108558493
EZH2,CAPN8,0,0,real,rna_only,28,-0.002425563547912978,-0.00252840287263344,-0.002323712978548156,0.9572192513368984,748,-0.3350224231428391
EZH2,SCUBE2,0,0,real,rna_only,28,-0.0025455224494584255,-0.0026347278240269616,-0.0024620815714901717,0.9946524064171123,748,-0.39438810194620677
FOXA1,AGR2,1,1,real,rna_only,17,0.06625399647762836,0.06481148501527442,0.06765870852400044,0.0,748,0.6488364229212172
FOXA1,AR,-1,1,real,rna_only,17,0.04278294827316767,0.04216600992143488,0.043443728551199476,0.0,748,0.6733789120295962
FOXA1,BCL2,-1,1,real,rna_only,17,0.0157434636481694,0.01541496058883031,0.016123893867161104,0.0,748,0.5998065973568248
FOXA1,BRCA1,1,1,real,rna_only,17,0.015918959920633247,0.015585417740812497,0.01622234297160735,0.00267379679144385,748,0.280507383564388
FOXA1,CCND1,1,1,real,rna_only,17,0.028644552814928607,0.028069806680392058,0.029207147556968627,0.0,748,0.5834502414246349
FOXA1,CDKN1B,1,1,real,rna_only,17,0.0018041921376728794,0.0016790736934885844,0.0019431431479769697,0.13903743315508021,748,0.4075351404547242
FOXA1,CDKN2A,1,1,real,rna_only,17,-0.0009950499746320945,-0.0011231426568400964,-0.0008639814158521386,0.7125668449197861,748,-0.3324392768583925
FOXA1,ESR1,1,1,real,rna_only,17,0.03598480946907305,0.03520963899473537,0.036652588420157416,0.0,748,0.7823056216785063
FOXA1,FOXC1,1,1,real,rna_only,17,-0.001974056232073171,-0.002143642713703629,-0.0018020487211996606,0.7954545454545454,748,-0.5967001767363086
FOXA1,GREB1,1,1,real,rna_only,17,0.0515788206089796,0.05056046189419587,0.052649891254685714,0.0,748,0.5771854759448896
