tf,target,edge_sign,coexpr__pooled,coexpr__ER_IHC=Negative,coexpr__ER_IHC=Positve
FOXM1,CDC6,1,0.38960102493490073,0.2896966422602576,0.3786515930456807
E2F4,CDC6,1,0.07484814626501185,0.050347820451188505,0.006755740285979319
E2F1,CDCA7,1,0.03133295997965058,0.031249856032462556,0.01719725328773203
MYC,CDCA7,1,0.23893882699629743,0.5220601700492771,0.12496264647581011
E2F4,CDCA7,1,0.4169188512550131,0.3122728713831933,0.2444251605892043
AR,CDH1,-1,0.04152258556329386,0.2506070191199244,-0.05660268413206238
ARID1A,CDH1,1,0.04121403103363363,0.04798134262495328,0.02289671054253799
DNMT3A,CDH1,-1,-0.1058500089421236,-0.12187124637516329,-0.10868773946225545
DNMT3B,CDH1,-1,0.07677741354758161,0.14577129862527383,0.09153216618432215
ESR1,CDH1,1,0.08370013012450016,0.03439659838944924,0.0767591277661112
EZH2,CDH1,-1,0.09286107790997954,-0.011480546322730696,0.15700114849133523
FOXC1,CDH1,-1,-0.16307886477943948,-0.28514580499792164,-0.11760437900329036
FOXM1,CDH1,1,0.050468542453863105,-0.1392551595316399,0.13581972065975678
GATA3,CDH1,1,0.06076612125564499,0.20753991562983928,0.02533808243616993
HTATIP2,CDH1,1,0.1665580710855009,0.05922810412144781,0.22377226885617146
MYC,CDH1,1,0.016495904060115175,-0.08610509937942179,0.06079756830094952
RB1,CDH1,1,0.07733661899230564,0.08657315166415859,0.07016888590126805
RUNX1,CDH1,1,-0.22352342252742355,-0.15950915748926994,-0.2705385912038523
SMAD3,CDH1,-1,-0.12258495911455888,-0.2605046046578568,-0.10586726657350753
SMAD4,CDH1,-1,-0.056653256156423505,-0.13194984904352405,-0.029751096070300048
TBX3,CDH1,-1,0.05767455838734376,0.03625007289990606,0.046918009129988406
TP53,CDH1,1,0.043641163062055566,0.010749499778551887,0.04880600009851479
TWIST1,CDH1,-1,-0.055091793627200465,-0.04991409069635224,-0.05394959617252962
ZEB1,CDH1,-1,-0.046204093063982016,-0.01998100885907732,-0.06320150855511693
CTBP1,CDH1,-1,0.24209174447177978,0.2386239015283585,0.24284155522288925
HIF1A,CDH1,-1,0.11704444558750637,0.2573855301719129,0.10355210447233003
E2F1,CDK4,1,-0.011071128541534471,0.03766593063399752,-0.02821898826918244
ESR1,CDK4,1,-0.33173008949884086,-0.1949965416345781,-0.2683083228431336
EZH2,CDK4,1,0.31990198103446216,0.31720067190562845,0.25884102535332143
MYC,CDK4,1,0.26124973000962587,0.2925456984866243,0.22407203147116883
RUNX1,CDK4,1,-0.2096729345316953,-0.20077855698399608,-0.15661386562859153
TP53,CDK4,-1,0.05310939749130508,0.10076900734762412,0.05000197708948513
ZEB1,CDK4,1,-0.0042514220952517435,-0.16377410241914214,0.08807103022841073
AR,CDK6,1,-0.44915785521585716,-0.5448329297009562,-0.3234399442414747
MYC,CDK6,1,0.3000760619906068,0.4599861581841046,0.21679646641565153
RUNX1,CDK6,1,-0.05280368472627103,0.05587596047312113,0.044874769807442476
TP53,CDK6,1,0.04250441754228898,0.16195657522901297,0.023124699270501065
AR,CDKN1B,1,-0.07754238289984383,-0.2833751170586553,-0.12041536626833409
BRCA1,CDKN1B,1,0.026212245114266508,-0.0977456574953619,0.062059878546485106
E2F1,CDKN1B,1,0.003991384432198327,-0.015549327085458246,0.021902311123234156
ESR1,CDKN1B,-1,0.16037102783294985,0.04085346853781901,0.03645123067315987
EZH2,CDKN1B,1,-0.19188225822654684,-0.05140877226249089,-0.11855445059297104
FOXA1,CDKN1B,1,0.1678460882609405,-0.1815889570346634,0.1171256094191344
FOXM1,CDKN1B,-1,-0.17601601320513302,0.016642850082841873,-0.09152583189859956
MYC,CDKN1B,-1,0.11236811838985845,0.2883299018466432,0.10430074062509292
PGR,CDKN1B,1,0.21686388388479938,0.11608762771748037,0.12617236814486515
RUNX1,CDKN1B,-1,-0.13298494096092356,-0.2332344232291922,-0.17090576727271234
SMAD3,CDKN1B,1,-0.03516548626881909,-0.0848832794702738,-0.08425614988220091
TP53,CDKN1B,1,-0.03677137515510482,0.03780156737133684,-0.07434636585456258
HIF1A,CDKN1B,1,0.19043994280523588,0.24114479589495322,0.24574040417240267
E2F4,CDKN1B,1,-0.17418339865621746,0.004181028963248966,-0.12526327355230588
DNMT3A,CDKN2A,-1,-0.071636636960962,0.014950214464473319,-0.06784011620529593
DNMT3B,CDKN2A,1,0.07272478346784653,0.02339309502577136,-0.050296934859237113
E2F1,CDKN2A,1,0.03635991070682738,0.14295815194737843,-0.008318988629437231
ESR1,CDKN2A,1,-0.3081065259297182,-0.2292760121489757,-0.17956879354502828
EZH2,CDKN2A,-1,0.1678446535729301,0.4241204603234527,-0.011166195466833902
FOXA1,CDKN2A,1,-0.3055969830996643,-0.41263613564899565,-0.17607560801760996
FOXM1,CDKN2A,-1,0.18285254074785914,0.40074054777585255,-0.0030713332931170062
GATA3,CDKN2A,1,-0.2623035727327814,-0.22483322807129724,-0.10919240321668382
MYBL2,CDKN2A,1,0.012575649899778739,0.06113874821375756,-0.028083264392303096
MYC,CDKN2A,1,0.13091113189849665,0.29424146833009257,0.05476137432724462
RUNX1,CDKN2A,1,-0.1925227272717912,-0.25977074075785483,-0.14072963296705093
SMAD3,CDKN2A,1,-0.2181605149163193,-0.2676957084681017,-0.13974312994600185
TBX3,CDKN2A,-1,-0.214311423369926,-0.21369052636097852,-0.10171855901998324
TP53,CDKN2A,1,-0.09931731655517452,0.057974185950282975,-0.13745707910694424
TWIST1,CDKN2A,-1,0.15122850517471786,-0.19985638851242557,0.233393087496301
ZEB1,CDKN2A,-1,0.0294726802559851,-0.2195090718892013,0.165009419159612
CTBP1,CDKN2A,-1,0.008913843519565473,-0.004546859477688177,0.04244655698475791
TP53,CEP55,-1,-0.0031342434539075367,0.05118896172769317,0.011292010167494109
E2F1,CHEK1,1,0.0693980534553529,0.01809655895663278,0.06929444595144453
EZH2,CHEK1,1,0.6967953063170437,0.6328891872711447,0.631959946328501
