tf,target,edge_sign,coexpr__pooled,coexpr__INTCLUST=1,coexpr__INTCLUST=10,coexpr__INTCLUST=2,coexpr__INTCLUST=3,coexpr__INTCLUST=4ER+,coexpr__INTCLUST=4ER-,coexpr__INTCLUST=5,coexpr__INTCLUST=6,coexpr__INTCLUST=7,coexpr__INTCLUST=8,coexpr__INTCLUST=9
TWIST1,AKT2,1,-0.08244859533904972,-0.15471807279612876,0.004688859527569205,-0.17850200114351053,-0.07650819218975786,-0.08458267593974854,0.03385354141656663,0.033124804504222706,-0.04685351665785298,-0.021349136669593215,-0.08467374660653566,-0.018135483273097955
AR,ALDH1A3,1,-0.17583225769748315,-0.14092415316642118,-0.15433920917791885,-0.3283018867924528,-0.07851875434305464,-0.22759378618612666,0.31553421368547413,0.007386389025425621,-0.2019566367001586,-0.028216759340552146,-0.1648051208332203,-0.08856454452784729
DNMT3B,APC,1,-0.016007046917944946,-0.028205869976856722,0.17221193679236174,0.04196683819325328,-0.0759706481354818,-0.1845489513540539,0.036638655462184866,0.046418517360025016,-0.042332659081688456,0.015344844405423861,0.017261611075481794,-0.04282272263923641
EZH2,APC,-1,-0.016951091282779926,-0.045326635808962755,-0.10696587356031749,0.12948351438917474,-0.1396598227757726,0.0824767067333205,-0.24043217286914764,0.10407078064256668,0.25468006345848754,0.05868207979709297,0.0759451285215379,-0.003405623680909151
MYC,APC,1,0.018628919642890727,0.15144382495266145,0.09690954207083238,0.12109777015437391,-0.13508698354001428,-0.03205958167363563,-0.05354141656662665,0.009826176326019929,-0.1473294553146483,0.05818944493220174,0.12587909527343738,0.16396997497914928
TP53,APC,1,0.06897379584963412,0.12066063538817588,0.17020398955882826,0.008576329331046312,0.02464069354182036,0.08207101973242018,-0.02069627851140456,0.20598775637874792,-0.3078794288736118,-0.027236367183689398,0.01821633843657766,0.1571958113242517
HIF1A,APC,-1,0.042280889289608645,0.020552808752366925,0.005755534787792852,-0.11118734514960929,0.05278644262882227,0.03275765701388839,0.10424969987995197,0.07240269895884534,0.06784769962982547,-0.03406496927129061,0.052423938317236206,0.04041330738578445
ARID1A,AR,1,0.05097035494483962,0.008336839890595412,0.06630643462951909,-0.034572136458928905,0.06590243143863496,0.18331445659463672,-0.06405916110276444,-0.0327607335921684,-0.09405201021459453,-0.015200974540269007,-0.14735975204574778,-0.00740433556747323
E2F1,AR,-1,-0.043486070579799245,0.04025089417210183,0.002687634945699462,0.00872879740804269,-0.05960431137137977,-0.06861656089410244,-0.035390156062424974,-0.18036105277268866,-0.0602855631940772,0.05635547751438885,0.0064340839271437,0.05650078769344825
ESR1,AR,1,0.4775875669161448,0.2897643593519882,0.2761109857884051,0.5894034686487515,0.3565330255823137,0.45136466653931506,0.18501800720288114,-0.062362035837168775,0.27366472765732414,0.2696956394498098,0.3794925029403859,0.36868686868686873
EZH2,AR,1,-0.1620652123971336,0.01491163475699558,-0.02960917214045935,0.07611968744044215,0.18340966397681216,0.2061387036427059,-0.16350540216086432,0.12880825774163276,0.027340031729243784,0.10050726758365039,0.07947162259662519,-0.04549635227598225
