tf,target,edge_sign,coexpr__pooled,coexpr__CLAUDIN_SUBTYPE=Basal,coexpr__CLAUDIN_SUBTYPE=Her2,coexpr__CLAUDIN_SUBTYPE=LumA,coexpr__CLAUDIN_SUBTYPE=LumB,coexpr__CLAUDIN_SUBTYPE=Normal,coexpr__CLAUDIN_SUBTYPE=claudin-low
MYC,CHEK1,1,0.27948928542322765,0.3524971967603292,0.3643547531022644,0.25835986444264336,0.2605800819623812,-0.0569557326599858,0.22446454134692875
TP53,CHEK1,-1,0.052435043065640126,0.08282325706705047,0.14638702285042993,0.08463303668811177,-0.02389257688959133,0.009516294484336779,0.28055270794472004
E2F4,CHEK1,1,0.2899664087730386,0.07205452970754264,0.052214589742509164,0.06466871240353729,0.12853597487500948,0.24858507408945985,0.29265285574347166
E2F1,CHEK2,1,0.013949596257978864,-0.06195053040469546,-0.13428871470006684,-0.04405729457342876,0.12170069560526359,-0.04716326047502565,-0.02016034667578202
MYC,CHEK2,1,0.32039520664878945,0.36253991347214404,0.41048937667884666,0.24475996253680765,0.22180914352327494,0.2356427049633079,0.3230564272808354
PITX2,CHEK2,1,0.012373647140774942,0.07441538946922321,0.03783938932134841,-0.014292202883875917,-0.025123908850153184,0.09066519371893002,-0.16129875556103876
TP53,CHEK2,-1,0.06399593442801729,0.10668577020713245,0.05472485517797926,0.14533384328742277,-0.09887172735902593,0.07699834293379626,0.3145562041014542
DNMT3B,DNMT3A,1,-0.12765694718305448,0.10943865991350664,-0.0643207746922139,-0.07864918425947832,-0.039404723071601824,-0.12783871222283594,-0.23377527746130605
E2F1,DNMT3A,-1,-0.015460526878525855,0.08974760871312597,0.020113340421621426,-0.021220070917410475,-0.0204848944925824,0.16441253057681687,-0.18567361280762754
RB1,DNMT3A,-1,0.057111358152225046,-0.1679246041315007,-0.06950099832231695,0.08300515598911892,0.05539861678262336,0.059761144801004855,0.06820270395231715
DNMT3A,DNMT3B,1,-0.12765694718305448,0.10943865991350665,-0.0643207746922139,-0.07864918425947831,-0.03940472307160182,-0.12783871222283594,-0.23377527746130605
HOXB13,DNMT3B,1,0.14487866083678985,0.007953548703432902,0.06372732708790113,0.05119657524373659,0.13546803947279823,0.18060443462479286,0.02843678722524995
ESR1,E2F1,1,0.020341633454837502,0.00996302548026686,0.02696773826134001,0.0783740932583296,0.046031560238904166,0.014361240432415372,0.059478662706141015
MYBL2,E2F1,-1,0.06129636677983421,-0.00219435736677116,0.003024004100344543,0.03135804693737404,0.16162501655634237,-0.014163970646255821,0.03303050989865042
MYC,E2F1,1,-0.04814514442096877,-0.13112290008841734,-0.08942965346393689,-0.04298695801120608,-0.05187356190839953,0.04593229700939004,-0.023299671909568505
PGR,E2F1,1,0.01645925542564984,-0.0324732738525842,0.012438850764543409,0.09394497228924793,0.04053146629128689,0.05894421210447409,-0.008066412626801129
RB1,E2F1,-1,-0.056404935530906884,-0.17169841652600273,-0.09476481921165208,-0.05083062420223673,-0.03846524364742724,0.019356187785946385,0.007632620491182252
TP53,E2F1,-1,-0.029981153196437217,-0.1254722289205048,0.10310430251430848,-0.024799348387762304,-0.09975358002026805,0.10969778268760358,-0.028395690302724493
E2F4,E2F1,-1,0.01197052054756685,0.06031279702768593,-0.03013414975844064,-0.021524923782275312,-0.04789497945241962,0.10956823306571423,0.07421689938052778
AR,EGFR,-1,-0.3418504856094864,-0.0023189454223936984,0.017796634300521082,-0.18434137736550946,-0.04660109841705966,-0.14011678371340644,-0.3112703743701325
BRCA1,EGFR,-1,-0.3035628176739845,-0.09202234547062134,-0.25713958662812714,-0.30175289273778,-0.1444732618920742,-0.211812514795234,-0.07111365810556886
